# Logfile created on 2014-01-03 17:57:27 +0000 by logger.rb/44203
W, [2014-01-03T17:57:27.250225 #26099]  WARN -- : DRAGONFLY: couldn't json decode string - got 795: unexpected token at '~Š'
I, [2014-01-04T17:06:22.977624 #37679]  INFO -- : DRAGONFLY: GET /media/W1siZiIsIjIiXV0 200
I, [2014-01-04T17:06:28.492776 #37679]  INFO -- : DRAGONFLY: GET /media/W1siZiIsIjIiXV0 200
I, [2014-01-04T17:06:36.393503 #37679]  INFO -- : DRAGONFLY: GET /media/W1siZiIsIjIiXV0 200
I, [2014-01-04T17:06:37.470009 #37679]  INFO -- : DRAGONFLY: GET /media/W1siZiIsIjIiXV0 200
I, [2014-01-04T17:07:47.103589 #37814]  INFO -- : DRAGONFLY: GET /media/W1siZiIsIjIiXV0 200
I, [2014-01-04T17:07:51.249437 #37814]  INFO -- : DRAGONFLY: GET /media/W1siZiIsIjIiXV0 200
I, [2014-01-04T17:19:10.174036 #38282]  INFO -- : DRAGONFLY: GET /media/W1siZiIsIjIiXV0 200
I, [2014-01-04T17:20:13.741442 #38336]  INFO -- : DRAGONFLY: GET /media/W1siZiIsIjIiXV0 200
I, [2014-01-04T17:20:18.201812 #38336]  INFO -- : DRAGONFLY: GET /media/W1siZiIsIjIiXV0 200
I, [2014-01-04T17:20:44.601402 #38402]  INFO -- : DRAGONFLY: GET /media/W1siZiIsIjIiXV0 200
